,movie_title,movie_release_date,critics_score,audience_score,critics_sentiment,audience_sentiment,movie_image,description,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Runtime,Distributor,Rating,Box Office (Gross USA),Sound Mix,Aspect Ratio,View the collection
0,Blood,"Streaming Jan 31, 2023",55,75,negative,positive,https://resizing.flixster.com/vicviLC49CVUNdYSNSB3p3O_qbg=/180x258/v2/https://resizing.flixster.com/OTOxkUglLcHB7YhWs1NfrBQlZ-c=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzJmZDg4NDAxLWY4ZmMtNDZhNi04MzdhLWMxZjEwZjNkZWI1ZC5qcGc=,"Jess (Michelle Monaghan), a nurse and mother recently separated from her husband (Skeet Ulrich), moves her daughter Tyler (Skylar Morgan Jones) and young son Owen (Finlay Wojtak-Hissong) back into her family farmhouse. Shortly after settling in, Owen's dog escapes into the woods and returns days later, blood-soaked and rabid. When the dog attacks and bites him, the resulting infection grows more shocking as Owen's behavior becomes frightening and deadly. As he spirals deeper into the depths of the illness, Jess discovers a disturbing cure, which makes her question how far she is willing to go to keep her child alive.","Horror,",English,Brad Anderson,"Terry Dougas,",Will Honley,"Jan 27, 2023","Jan 31, 2023",1h 48m,Vertical Entertainment,,,,,
1,Heretic,"Streaming Jan 31, 2023",,,,,https://resizing.flixster.com/BlBPEe1VhBAm5yiWA8khHKImbmQ=/180x258/v2/https://flxt.tmsimg.com/assets/p23441157_v_v13_aa.jpg,"Hannah Blair tells people stories, predicts their future and even dabbles in communicating with the dead. One stormy night that all changes when she meets Rachel, who is actually a dead, lost spirit. Emboldened by this event, she is determined to find out the truth about what happened to her parents' years before. Hannah embarks on a journey into the netherworld where she comes face to face with the Entity. An evil who has haunted mankind since the dawn of time and who now wants Hannah!",Horror,English,Chris Schwab,"Marlene Mc'Cohen,",Chris Schwab,"Jan 20, 2023","Jan 31, 2023",1h 27m,Indican Pictures,,,,,
2,Alive,"Streaming Jan 31, 2023",,,,,https://resizing.flixster.com/OGht6agq8wG0iaAJRCRcsETXOnU=/180x258/v2/https://resizing.flixster.com/ZzldzJs8r69r_o4UTnmnjMDxC6A=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzAwMGFiNTUyLWRlZWYtNGJlMi1iNDllLTU4ZjVlNWNiM2ZkMC5qcGc=,"Helen navigates a ravaged world with her boyfriend Kevin and her little brother Barney. Desperate to find help after Barney's infection slowly turns him into a zombie, they come upon a house where lives Dan, a man harboring a heavy secret.","Horror,",English (United Kingdom),David Marantz,Annie Rachel Hillman,"David Marantz,",,"Jan 31, 2023",1h 33m,,,,,,
3,Viking Wolf,"Streaming Feb 3, 2023",,,,,https://resizing.flixster.com/kr1vJj96gOTQXTN1SZc-MjiZiYc=/180x258/v2/https://resizing.flixster.com/KjIKqZnj2-5bQJRuujpTYGaolmk=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzBjNzRjYTMwLTc5ZWMtNDZiNS04MjAzLTJiNjkzYjg3MTNjYS5qcGc=,"After witnessing a grotesque murder at a party in her new town, a teenager starts having strange visions and bizarre desires.","Horror,",Norwegian,Stig Svendsen,,"Espen Aukan,",,"Feb 3, 2023",1h 37m,,,,,,
4,Arthur Malediction,"Streaming Feb 3, 2023",,,,,https://resizing.flixster.com/TGMn0DSHkoTX0QGkdgw1A43W1Es=/180x258/v2/https://resizing.flixster.com/ViYLzBROPuyuyJkM4Aif2jbOxV0=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzJiNDkxODc0LWI4YjctNGE0ZS05MjFjLWUzODFlY2ZkYTRiZC5qcGc=,"Since childhood, Alex has been a big fan of the fantasy film saga Arthur and the Minimoys. So his best friends surprise him with a special present for his 18th birthday: a trip to the abandoned country house where the saga was set. What begins as a weekend adventure, quickly turns into a deadly nightmare...",Horror,French (France),Barthélémy Grossmann,Luc Besson,Luc Besson,,"Feb 3, 2023",1h 27m,,,,,,
5,M3GAN,"Streaming Jan 24, 2023",94,78,positive,positive,https://resizing.flixster.com/VS-VVckP1gsqGPL8olacKHSryFA=/180x258/v2/https://resizing.flixster.com/rPJASTXFjLpmiVTi3D6RGcq-skM=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzhjYjA0ODBiLTNlNmUtNDlhOS05ZWRlLThlOGQ2MmEyZjlmYS5qcGc=,"M3GAN is a marvel of artificial intelligence, a life-like doll programmed to be a child's greatest companion and a parent's greatest ally. Designed by brilliant toy-company roboticist Gemma (Get Out's Allison Williams), M3GAN can listen and watch and learn as she becomes friend and teacher, playmate and protector, for the child she is bonded to. When Gemma suddenly becomes the caretaker of her orphaned 8-year-old niece, Cady (Violet McGraw, The Haunting of Hill House), Gemma's unsure and unprepared to be a parent. Under intense pressure at work, Gemma decides to pair her M3GAN prototype with Cady in an attempt to resolve both problems--a decision that will have unimaginable consequences.","Horror,",English,Gerard Johnstone,"Jason Blum,",Akela Cooper,"Jan 6, 2023","Jan 24, 2023",1h 42m,Universal Pictures,PG-13 (Terror|Some Strong Language|A Suggestive Reference|Violent Content), $82.2M,Dolby Digital, Scope (2.35:1),
6,The Menu,"Streaming Jan 3, 2023",88,76,positive,positive,https://resizing.flixster.com/jJvkHPPuBR24i8zhk98fu13YPDo=/180x258/v2/https://resizing.flixster.com/ThP55y9O__xdEFFCmmJ0pDy9FeI=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2FlZTkwYTAyLWNkNWYtNDA0ZS04N2FhLTE0NDUwZmM0ODdiOC5qcGc=,"A couple (Anya Taylor-Joy and Nicholas Hoult) travels to a coastal island to eat at an exclusive restaurant where the chef (Ralph Fiennes) has prepared a lavish menu, with some shocking surprises.","Horror,",English,Mark Mylod,"Adam McKay,","Seth Reiss,","Nov 18, 2022","Jan 3, 2023",1h 47m,Searchlight Pictures,R (Some Sexual References|Language Throughout|Strong Violent Content), $38.5M,"Dolby Digital, Dolby Atmos", Scope (2.35:1),
7,Vengeance,"Streaming Sep 16, 2022",81,86,positive,positive,https://resizing.flixster.com/Zoh77iAzMq3ZENOkjx9pTxhfhJU=/180x258/v2/https://resizing.flixster.com/xrx35GfPi6i2xPLrmj30cYIKO4c=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzdiZTdkNDdlLWE5M2EtNDNhNC1hYWE2LTljYzJjYjc3ZDc2OC5qcGc=,"Vengeance, the directorial debut from writer and star B.J. Novak (""The Office""), is a darkly comic thriller about Ben Manalowitz, a journalist and podcaster who travels from New York City to West Texas to investigate the death of a girl he was hooking up with.","Comedy,",English, B.J. Novak,"Jason Blum,", B.J. Novak,"Jul 29, 2022","Sep 16, 2022",1h 47m,Focus Features,R (Language and Brief Violence), $4.2M,,,
8,X,"Streaming Apr 14, 2022",94,75,positive,positive,https://resizing.flixster.com/3z0Y9dEFKVm81xMe3hnHKEP70iQ=/180x258/v2/https://resizing.flixster.com/-Ius_N-ltCTKSsVCP_h4zcw5ixs=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzI5Y2VlMDIwLTJhMTgtNDAwOC05YTZkLTFkNWI1ZTQ2MGI4OC5qcGc=,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.","Horror,",English,Ti West,"Jacob Jaffke,",Ti West,"Mar 18, 2022","Apr 14, 2022",1h 45m,A24,R (Gore|Drug Use|Strong Sexual Content|Graphic Nudity|Language|Strong Bloody Violence), $11.6M,,,
9,The Offering,"Streaming Jan 13, 2023",80,66,positive,positive,https://resizing.flixster.com/7aPx5jEcA0aEC4-CW7pISHigNK4=/180x258/v2/https://resizing.flixster.com/hSRgmcoPU6qXJU-Yt8S8Sge2Adc=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzZhZTdhNGNhLThlYmEtNDVmMi1hZDUwLTBlZGNiNDA2ZWUzYi5qcGc=,"In the wake of a young Jewish girl's disappearance, the son of a Hasidic funeral director returns home with his pregnant wife in hopes of reconciling with his father. Little do they know that directly beneath them in the family morgue, an ancient evil with sinister plans for the unborn child lurks inside a mysterious corpse.","Horror,",English,Oliver Park,"Les Weldon,",Hank Hoffman,"Jan 13, 2023","Jan 13, 2023",1h 33m,Decal,R (Violence),,,,
